id,form_id,survey_id,lat,lng,address,state,country,continent
156561063912-4,347,1565610639-4,20.530157,85.59762,NULL,NULL,NULL,NULL
156561064012-4,347,1565610640-4,20.532914,85.597755,NULL,NULL,NULL,NULL
156561064112-4,347,1565610641-4,20.532434,85.598247,NULL,NULL,NULL,NULL
156561064212-4,347,1565610642-4,20.533613,85.596629,NULL,NULL,NULL,NULL
156561064312-4,347,1565610643-4,20.60117,86.7973,NULL,NULL,NULL,NULL
156561064412-4,347,1565610644-4,20.60316,85.79778,NULL,NULL,NULL,NULL
156561064512-4,347,1565610645-4,20.60401,85.79809,NULL,NULL,NULL,NULL
156561064612-4,347,1565610646-4,20.59427,85.30343,NULL,NULL,NULL,NULL
156561064712-4,347,1565610647-4,20.595,85.80259,NULL,NULL,NULL,NULL
156561064812-4,347,1565610648-4,20.59474,85.80242,NULL,NULL,NULL,NULL
156561064912-4,347,1565610649-4,20.59496,85.89296,NULL,NULL,NULL,NULL
156561065012-4,347,1565610650-4,20.59344,85.80436,NULL,NULL,NULL,NULL
156561065112-4,347,1565610651-4,50.59314,85.80438,NULL,NULL,NULL,NULL
156561065212-4,347,1565610652-4,20.59281,85.80879,NULL,NULL,NULL,NULL
156561065312-4,347,1565610653-4,20.56302,85.78602,NULL,NULL,NULL,NULL
156561065412-4,347,1565610654-4,20.59036,85.77489,NULL,NULL,NULL,NULL
156561065512-4,347,1565610655-4,20.58848/,85.77503,NULL,NULL,NULL,NULL
156561065612-4,347,1565610656-4,20.56443,85.78727,NULL,NULL,NULL,NULL
156561065712-4,347,1565610657-4,20.56313,85.78332,NULL,NULL,NULL,NULL
156561065812-4,347,1565610658-4,20.5642,85.78874,NULL,NULL,NULL,NULL
156561065912-4,347,1565610659-4,20.56406,85.78788,NULL,NULL,NULL,NULL
156561066012-4,347,1565610660-4,20.58808,85.77389,NULL,NULL,NULL,NULL
156561066112-4,347,1565610661-4,20.5664,85.78855,NULL,NULL,NULL,NULL
156561066212-4,347,1565610662-4,20.56413,85.78697,NULL,NULL,NULL,NULL
156561066312-4,347,1565610663-4,20.58934,85.82258,NULL,NULL,NULL,NULL
156561066412-4,347,1565610664-4,20.58778,85.82322,NULL,NULL,NULL,NULL
156561066512-4,347,1565610665-4,20.58812,85.82218,NULL,NULL,NULL,NULL
156561066612-4,347,1565610666-4,20.59282,85.82332,NULL,NULL,NULL,NULL
156561066712-4,347,1565610667-4,20.57889,85.3274,NULL,NULL,NULL,NULL
156561066812-4,347,1565610668-4,20.59213,85.82378,NULL,NULL,NULL,NULL
156561066912-4,347,1565610669-4,20.58993,85.82682,NULL,NULL,NULL,NULL
156561067012-4,347,1565610670-4,20.58836,85.82661,NULL,NULL,NULL,NULL
